CAP
30010
30013
30014
30015
30016
30020
30021
30022
30023
30024
30027
30029
30030
30031
30032
30033
30034
30035
30036
30037
30038
30039
30121
31020
31021
31022
31023
31024
31027
31030
31031
31032
31033
31036
31037
31038
31039
31040
31044
31045
31046
31047
31048
31050
31052
31055
31056
31057
31059
31100
35010
35011
35012
35015
35016
35017
35018
35020
35021
35022
35023
35024
35025
35026
35027
35028
35029
35121
45010
45011
45017
45030
